customerID,full_name,purchase_date,total_spent,newsletter_optin
13,Client_11,08-10-2023,436.86€,Yes
10,Client_8,24-02-2023,238.32€,
18,Client_18,12-01-2023,92.62€,
21,Client_9,07-01-2023,394.42€,No
9,Client_17,22-03-2023,184.17€,Yes
17,Client_12,05-06-2023,364.92€,No
12,Client_16,16-12-2023,169.02€,
22,Client_14,02-08-2023,329.87€,No
16,Client_6,05-07-2023,230.15€,No
14,Client_24,11-11-2023,497.69€,
6,Client_21,11-12-2023,287.13€,Yes
24,Client_23,10-12-2023,136.66€,
5,Client_19,20-12-2023,64.91€,
7,Client_13,16-07-2023,265.94€,No
8,Client_22,01-11-2023,176.28€,No
